No.,Plant,Electrical Room,Motor Name,Capacity [kW],Voltage [V],Current [A],RPM,Maker,Serial Number,When ?,Check ?,Check Date,Check Status,REASON,Remark,frame,Type,"Installed
  Qty",Standby,Spare,"Shaft 
 Dia","Base 
 Width","Base 
 Length",C,E,H,Operation,Remark
62,BF,BF MER,High Pressure Pump A,750,6000,84.4,2976,Hyundai,20114887RMHE67001,NOT EVERY TIME,NOT YET,2/26/2020,OK,,,355,HRQ3 357-28E,1,1,1,90,830,1120,490,170,355,2 running 1 standby,
63,BF,BF MER,High Pressure Pump B,750,6000,84.4,2976,Hyundai,20114887RMHE67002,NOT EVERY TIME,NOT YET,2/26/2020,OK,,,355,HRQ3 357-28E,1,,,90,830,1120,490,170,355,,
64,BF,BF MER,High Pressure Pump C,750,6000,84.4,2976,Hyundai,20114887RMHE67003,NOT EVERY TIME,NOT YET,4/14/2020,OK,,,355,HRQ3 357-28E,1,,,90,830,1120,490,170,355,,
65,BF,BF MER,Low Pressure Pump A,1120,6000,128.6,988,Hyundai,20114887RMHE66001,NOT EVERY TIME,NOT YET,4/14/2020,OK,,,450,HRQ3 457-68E,1,1,0,140,850,1600,250,250,450,3 running 1 standby,
66,BF,BF MER,Low Pressure Pump B,1120,6000,128.6,988,Hyundai,20114887RMHE66002,NOT EVERY TIME,NOT YET,2/26/2020,OK,,,450,HRQ3 457-68E,1,,0,140,850,1600,250,250,450,,
67,BF,BF MER,Low Pressure Pump C,1120,6000,128.6,988,Hyundai,20114887RMHE66003,NOT EVERY TIME,NOT YET,2/26/2020,OK,,,450,HRQ3 457-68E,1,,0,140,850,1600,250,250,450,,
68,BF,BF MER,Low Pressure Pump D,1120,6000,128.6,988,Hyundai,20114887RMHE66004,NOT EVERY TIME,NOT YET,2/26/2020,OK,,,450,HRQ3 457-68E,1,,0,140,850,1600,250,250,450,,
69,BF,BF MER,Plant Air Compressor A,220,6000,29.9,987,Hyundai,20114860RMHE63001,EVERY TIME,NOT YET,2/26/2020,OK,,,315,HLE5 317-68E,1,0,0,100,508,900,216,200,315,4 running,
70,BF,BF MER,Plant Air Compressor B,220,6000,29.9,987,Hyundai,20114860RMHE63002,EVERY TIME,NOT YET,2/26/2020,OK,,,315,HLE5 317-68E,1,0,0,100,508,900,216,200,315,,
71,BF,BF MER,Plant Air Compressor C,220,6000,29.9,987,Hyundai,20114860RMHE63003,EVERY TIME,NOT YET,2/26/2020,OK,,,315,HLE5 317-68E,1,0,0,100,508,900,216,200,315,,
72,BF,BF MER,Plant Air Compressor D,220,6000,29.9,987,Hyundai,20114860RMHE63004,EVERY TIME,NOT YET,2/26/2020,OK,,,315,HLE5 317-68E,1,0,0,100,508,900,216,200,315,,
73,BF,BF MER,Air Back Up Compressor,240,6000,30.5,986,Hyundai,20124112RMHB79001,EVERY TIME,NOT YET,4/14/2020,OK,,,315,HLE5 316-68E,1,1,0,95,508,900,216,200,315,1 running,
74,BF,BF MER,Stove Combustion Air Fan Motor A,1700,6000,188.2,1484,Hyundai,20121753RMH518001,EVERY TIME,NOT YET,2/26/2020,OK,,,500,HRQ3 505-48E,1,1,0,150,950,1600,590,250,500,1 running 1 standby,
75,BF,BF MER,Stove Combustion Air Fan Motor B,1700,6000,188.2,1484,Hyundai,20121753RMH518002,EVERY TIME,NOT YET,,OK,,,500,HRQ3 505-48E,1,,0,150,950,1600,590,250,500,,
76,BF,BF MER,Tuyere Booster Pump A,210,6000,26.7,988,Hyundai,20114887RMHE69001,EVERY TIME,NOT YET,2/26/2020,OK,,,315,HLE5 314-68E,1,1,0,90,508,630,216,170,315,1 running 1 standby,
77,BF,BF MER,Tuyere Booster Pump B,210,6000,26.7,988,Hyundai,20114887RMHE69002,EVERY TIME,NOT YET,,OK,,,315,HLE5 314-68E,1,,0,90,508,630,216,170,315,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,BF,BFS ER,No.1 SGP Cooling Water Pump A,160,6000,21.1,990,Hyosung,LA26349503-5,EVERY TIME,NOT YET,4/15/2020,OK,,,355,TEFC,1,1,0,95,610,730,254,170,355,2 running 1 standby,
79,BF,BFS ER,No.1 SGP Cooling Water Pump B,160,6000,21.1,990,Hyosung,LA26349503-1,EVERY TIME,NOT YET,3/30/2020,OK,,,355,TEFC,1,,0,95,610,730,254,170,355,,
80,BF,BFS ER,No.1 SGP Cooling Water Pump C,160,6000,21.1,990,Hyosung,LA26349503-2,EVERY TIME,NOT YET,3/30/2020,OK,,,355,TEFC,1,,0,95,610,730,254,170,355,,
81,BF,BFS ER,No.1 SGP Slurry Pump A,270,6000,35.7,990,Hyosung,LA26349501-2,EVERY TIME,NOT YET,4/15/2020,OK,,,-,TEFC,1,1,0,100,686,1000,280,165,355,2 running 1 standby,
82,BF,BFS ER,No.1 SGP Slurry Pump B,270,6000,35.7,990,Hyosung,LA26349501-3,EVERY TIME,NOT YET,,OK,,,-,TEFC,1,,0,100,686,1000,280,165,355,,
83,BF,BFS ER,No.1 SGP Slurry Pump C,270,6000,35.7,990,Hyosung,LA26349501-6,EVERY TIME,NOT YET,3/30/2020,OK,,,-,TEFC,1,,0,100,686,1000,280,165,355,,
84,BF,BFS ER,No.1 SGP Water Supply Pump A,185,6000,24.6,990,Hyosung,LA26349502-6,EVERY TIME,NOT YET,3/30/2020,OK,,,355,TEFC,1,1,0,95,610,730,254,170,355,2 running 1 standby,
85,BF,BFS ER,No.1 SGP Water Supply Pump B,185,6000,24.6,990,Hyosung,LA26349502-5,EVERY TIME,NOT YET,3/30/2020,OK,,,355,TEFC,1,,0,95,610,730,254,170,355,,
86,BF,BFS ER,No.1 SGP Water Supply Pump C,185,6000,24.6,990,Hyosung,LA26349502-3,EVERY TIME,NOT YET,3/30/2020,OK,,,355,TEFC,1,,0,95,610,730,254,170,355,,
87,BF,BFS ER,No.1 Cast House Bag Filter Fan,2500,6000,279,995,SHCT,710Y451773-01,NOT EVERY TIME,NOT YET,3/30/2020,OK,,,710,YKK710-6 W,1,0,0,200,1400,1800,530,350,710,1 running,
88,BF,SGS ER,No.2 Cast House Bag Filter Fan,2500,6000,279,995,SHCT,A710Y12036-2,NOT EVERY TIME,NOT YET,3/31/2020,OK,,,710,YKK710-6TH,1,0,0,200,1400,1800,530,350,710,1 running,
89,BF,SGS ER,No.2 SGP Cooling Water Pump A,160,6000,21.1,990,Hyosung,LA26349503-4,EVERY TIME,NOT YET,3/31/2020,OK,,,355,TEFC,1,1,0,95,610,730,254,170,355,"2 running, 1 standby",
90,BF,SGS ER,No.2 SGP Cooling Water Pump B,160,6000,21.1,990,Hyosung,LA26349503-6,EVERY TIME,NOT YET,4/14/2020,OK,,,355,TEFC,1,,0,95,610,730,254,170,355,,
91,BF,SGS ER,No.2 SGP Cooling Water Pump C,160,6000,21.1,990,Hyosung,LA26349503-3,EVERY TIME,NOT YET,3/31/2020,OK,,,355,TEFC,1,,0,95,610,730,254,170,355,,
92,BF,SGS ER,No.2 SGP Slurry Pump A,270,6000,35.7,990,Hyosung,LA26349501-3,EVERY TIME,NOT YET,4/14/2020,OK,,,355,TEFC,1,1,0,100,686,1000,280,165,355,2 running 1 standby,
93,BF,SGS ER,No.2 SGP Slurry Pump B,270,6000,35.7,990,Hyosung,LA26349501-1,EVERY TIME,NOT YET,3/31/2020,OK,,,355,TEFC,1,,0,100,686,1000,280,165,355,,
94,BF,SGS ER,No.2 SGP Slurry Pump C,270,6000,35.7,990,Hyosung,LA26349501-5,EVERY TIME,NOT YET,3/31/2020,OK,,,355,TEFC,1,,0,100,686,1000,280,165,355,,
95,BF,SGS ER,No.2 SGP Water Supply Pump A,185,6000,24.6,990,Hyosung,LA26349502-1,EVERY TIME,NOT YET,3/31/2020,OK,,,355,TEFC,1,1,0,95,610,730,254,170,355,2 running 1 standby,
96,BF,SGS ER,No.2 SGP Water Supply Pump B,185,6000,24.6,990,Hyosung,LA26349502-2,EVERY TIME,NOT YET,3/31/2020,OK,,,355,TEFC,1,,0,95,610,730,254,170,355,,
97,BF,SGS ER,No.2 SGP Water Supply Pump C,185,6000,24.6,990,Hyosung,LA26349502-4,EVERY TIME,NOT YET,4/14/2020,OK,,,355,TEFC,1,,0,95,610,730,254,170,355,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,BF,Gas Cleaning ER,Clarified Water Supply Pump A,250,6000,29.9,1485,Hyundai,20114887RMHE64001,EVERY TIME,NOT YET,4/15/2020,OK,,,315,HLE5 313-48E,1,1,0,90,508,630,216,170,315,2 running 1 standby,
99,BF,Gas Cleaning ER,Clarified Water Supply Pump B,250,6000,29.9,1485,Hyundai,20114887RMHE64002,EVERY TIME,NOT YET,3/30/2020,OK,,,315,HLE5 313-48E,1,,0,90,508,630,216,170,315,,
100,BF,Gas Cleaning ER,Clarified Water Supply Pump C,250,6000,29.9,1485,Hyundai,20114887RMHE64003,EVERY TIME,NOT YET,3/30/2020,OK,,,315,HLE5 313-48E,1,,0,90,508,630,216,170,315,,
101,BF,Gas Cleaning ER,Scrubber Recycle Pump A,150,6000,18.1,1485,Hyundai,20114887RMHE65001,EVERY TIME,NOT YET,4/15/2020,OK,,,280,HLE5 286-48E,1,1,0,85,457,630,190,170,280,2 running 1 standby,
102,BF,Gas Cleaning ER,Scrubber Recycle Pump B,150,6000,18.1,1485,Hyundai,20114887RMHE65002,EVERY TIME,NOT YET,4/15/2020,OK,,,280,HLE5 286-48E,1,,0,85,457,630,190,170,280,,
103,BF,Gas Cleaning ER,Scrubber Recycle Pump C,150,6000,18.1,1485,Hyundai,20114887RMHE65003,EVERY TIME,NOT YET,3/30/2020,OK,,,280,HLE5 286-48E,1,,0,85,457,630,190,170,280,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,BF,PCI ER,Waste Gas Fan Motor A,1100,6000,124.5,1487,Hyundai,20121753RMH520001,EVERY TIME,NOT YET,4/9/2020,OK,,,450,HNQ3 455-48E,1,0,1,130,850,1400,250,250,450,1 running 1 standby,
105,BF,PCI ER,Waste Gas Fan Motor B,1100,6000,124.5,1487,Hyundai,20121753RMH520002,EVERY TIME,NOT YET,4/22/2020,OK,,,450,HNQ3 455-48E,1,0,,130,850,1400,250,250,450,,
106,BF,PCI ER,N2 Compressor Motor A,240,6000,30.5,991,Hyundai,20114860RMHH76001,EVERY TIME,NOT YET,2/27/2020,NOT CHECK,Load: < 60%,,315,HLE5 316-68E,1,1,0,95,508,900,216,210,315,2 running 1 standby,
107,BF,PCI ER,N2 Compressor Motor B,240,6000,30.5,991,Hyundai,20114860RMHH76002,EVERY TIME,NOT YET,4/9/2020,NOT CHECK,Load: < 60%,,315,HLE5 316-68E,1,,0,95,508,900,216,210,315,,
108,BF,PCI ER,N2 Compressor Motor C,240,6000,30.5,991,HYUNDAI,20114860RMHH76003,EVERY TIME,NOT YET,2/27/2020,NOT CHECK,Load: < 60%,,315,HLE5 316-68E,1,,0,95,508,900,216,210,315,,
109,BF,PCI ER,Pulverized Mill Motor A,560,6000,67,980,Hyosung,LA80426301-1,EVERY TIME,NOT YET,4/9/2020,NOT CHECK,Load: < 60%,,450FM,-,1,0,1,120,750,1250,315,180,450,1 running 1 standby,
110,BF,PCI ER,Pulverized Mill Motor B,560,6000,67,980,Hyosung,LA80426301-2,EVERY TIME,NOT YET,2/27/2020,NOT CHECK,Load: < 60%,"2017 caution and open but rotor OK, 2019 TANYA MAKER",450FM,-,1,,,120,750,1250,315,180,450,,
111,BF,PCI ER,Air Compressor Motor A,940,6000,138.3,422,Hyundai,20114860RMHE62001,EVERY TIME,NOT YET,2/27/2020,OK,,,630,HRQ3 633-58E,1,1,0,180,1180,1800,315,300,630,2 running 1 standby,
112,BF,PCI ER,Air Compressor Motor B,940,6000,138.3,422,Hyundai,20114860RMHE62002,EVERY TIME,NOT YET,4/9/2020,OK,,,630,HRQ3 633-58E,1,,0,180,1180,1800,315,300,630,,
